Category,Message
ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
spam,"Thanks for your ringtone order, Ref R836 number. Your mobile phone will be charged £ 4.50. If your melody does not come, please call customer service at 09065069154"
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
spam,http // tms. widelive.com/index. WML? ID = 820554AD0A1705572711 & First = Trueâº ringtone
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
ham,I dun believe u. I thk u told him.
ham,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...
spam,"From the next month, a maximum of 50% of the calling of 4 standard networks of UR 2 activates calls 9061100010 c wire."
ham,I not at home now lei...
ham,Mm so you asked me not to call radio
spam,To have the opportunity to win a cash £ 250 per WK TXT: Action to 80608.
ham,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
spam,URGENT! We are trying to contact U. Today Draw shows that you have won a prize worth £ 800. Call 09050003091 from Land Line. Request C52. Only valid 12hrs
spam,Guess! Someone you know the secret to imagine you! Who is it? Call us at 09065394973 from Datbox1282essexcm61xn 150p/minute 18
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,"Just wondering, the others just took off"
ham,what number do u live at? Is it 11?
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
ham,How do you plan to manage that
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
spam,"Wan2 won a meeting+greeting with Westlife 4 U or M8? Which tour is they currently in? 1) Cannot break, 2) UNTAMED, 3) Not cared for. Document 1,2 or 3 to 83049. Cost 50p +STD text"
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
ham,"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)"
ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
ham,Will do. Have a good day
ham,Will you be here for food
ham,"I just got home babe, are you still awake ?"
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
ham,Those were my exact intentions
spam,Burger King - Want to play Footy at a leading stadium? Receive 2 Burger King before September 1 and grow or super with Coca-Cola and go out of a winner
ham,Pls i wont belive god.not only jesus.
spam,"Receive a free free mobile video movie. To collect text, visit 89105. It is free! Additional films can be ordered by T and C. 18 years only"
ham,I asked sen to come chennai and search for job.
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
ham,ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
spam,The money I won the number 946 wot I did next
ham,Good evening! How are you?
spam,-PLS stops the spoils (32/F) is inviting you to be her friend. Answer 434 or No-434 see her: www.sms.ac/u/bootydelious stop? Send FRND to 62468
spam,The dirty stories and your waiting girls
spam,You have a new phone. Please call 08719181513.
spam,"Call 09094100151 to use your minutes! Call 10p/minute cast (different MOB). The service is provided by AOM, only GBP5/month. Aom Box61, M60 1er until you stop. Only from 18 years of age!"
spam,You are given a Sipix digital camera! Call 09061221061 from a fixed phone. Delivery within 28 days. T cs box177. M221BP. 2YR warranty. 150ppm. 16. P pâ £ 3.99
ham,No need for the drug anymore.
ham,Apart from the one i told you about yesterday?
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
ham,Friends that u can stay on fb chat with
ham,I'm serious. You are in the money base
spam,Natalja (25/F) is inviting you to be her friend. Answer 440 or No-440 see her: www.sms.ac/u/nat27081980 Stop? Send FRND to 62468
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight
spam,"Your free ringtones are waiting to be collected. Just text the password ""mix"" into 85069 to verify. Get Usher and Britney. FML, PO BOX 5249, MK17 92H. 450ppw 16"
spam,The puzzle of WKLY Q sun! Get a leading DVD DVD player if you know which country Liverpool has played in the middle of the week? TXT ANSR to 82277. £ 1.50 sp: tyrone
spam,"Themob> Click on the link to get a high -end pink Panther game. 1 from Sugababes, a crazy zebra image or a bad hoody wallpaper-all 4 free!"
spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
spam,"Free message: Get Gnarls Barkleys ""Crazy"" ringtone ""Crazy"" completely free just need to answer this message right now!"
spam,"Congratulations to 2 Videophones 3G Mobile R. Call 09063458130 now! Videochat Wid Ur Mates, Java game, Dload Polyph Music, Noline Rentl. BX420. IP4. 5we. 150p"
ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is!
ham,Customer place i will call you
ham,How come u got nothing to do?
ham,I will see in half an hour
ham,Ok
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
spam,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
ham,Is xy in ur car when u picking me up?
ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
spam,Congratulations to you for being awarded £ 500 of our Gift CD and free entry 2 £ 100.
spam,Your ringtone service has changed! 25 free credit! Visit Club4Mobiles.com to select the content right now! Stop? The TXT club stopped to 87070.
ham,Yes:)here tv is always available in work place..
ham,Have you been practising your curtsey?
spam,"Text82228 >> Receive more ringtones, logos and games from www.txt82228.com. Question: info@txt82228.co.uk"
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins"
ham,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
ham,Gud mrng dear have a nice day
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ã¼ not interested.
ham,Do u still have plumbers tape and a wrench we could borrow?
ham,Which channel:-):-):):-).
ham,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish
ham,Excellent! Wish we were together right now!
ham,It is a good thing I'm now getting the connection to bw
spam,There are 11 minutes of your mobile? Free updates for the latest color camera Cam Cam Cam Cam & Unlimited Weekend Calls. Call mobile upd8 on freeFone 08000839402 or 2stoptx
ham,Unni thank you dear for the recharge..Rakhesh
spam,500 free text messages. Just text OK on 80488 and we will record your account
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
ham,Den wat will e schedule b lk on sun?
ham,I'm aight. Wat's happening on your side.
spam,"Did you realize that in about 40 years, we will have thousands of old women running around with tattoos?"
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
ham,Missing you too.pray inshah allah
spam,Natalja (25/F) is inviting you to be her friend. Answer 440 or No-440 see her: www.sms.ac/u/nat27081980 Stop? Send FRND to 62468
spam,Set - you have been made 150p invoices. NetCollex Ltd. Po Box 1013 IG11 oja
ham,"Sorry, I'll call later"
ham,Ok then i will come to ur home after half an hour
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
spam,This is the second time we have tried to contact U. You have won the £ 1450 prize to request only 09053750005 B4 310303. T & CS/STOP SMS 08718725756.
ham,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.
spam,"Urgent! Please call 09066612661 from your fixed phone, vacation 4* Lux Costa del Sol or 1000 £ 1000 cash are waiting. PPM 150 SAE T & CS JAMES 28, EH74RR"
spam,Prepare your garden ready for the summer with a free choice of light bulbs and seeds free £ 33: 50 with ScotSman on Saturday. To stop GO2 notxt.co.uk
ham,K:)k.are you in college?
spam,Cashbin.co.uk (receive a lot of money this weekend!) These ..
ham,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?"
spam,Do you want a new Nokia 3510i color phone to be distributed tomorrow? With 200 minutes free for any mobile phone + 100 free texts + replied the camera for free or call 8000930705
spam,"U R has registered 2 textcomp 250 WKLY COM. Free question of January 1, the next WKS WKE charger @150p/msg.2 Cancellation TXT registration 2 84128, Custom 08712405020202020"
ham,Call me when you get the chance plz &lt;3
spam,The riddles of the sun! Winning a DVD Super Sony recording machine if you can be Australia's capital? Mquiiz text to 82277. B
ham,Kallis wont bat in 2nd innings.
ham,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up..."
spam,We have tried to contact you for your request for 750 minutes 150 textand a new phone call 08002988890 right now or reply for free delivery tomorrow
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
spam,"Dear owner, to ask for this week, at your PC, please visit http://www.wtlp.co.uk/text. TS & CS applied."
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
ham,Will be office around 4 pm. Now i am going hospital.
ham,Then she dun believe wat?
ham,Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx
spam,"GSOH? Good spam, ladies? Can you b a male gigolo? 2 Join the fastest Mens Mens Club of the UK to answer Oncall. Mjzgroup. 08714342399.2stop's answer. msg@â $ 1.50RCVD"
ham,Okie
spam,"Winning the latest Harry Potter and order of Phoenix (Book 5) answered Harry, answered 5 questions - the opportunity was the first of the readers!"
ham,Is there coming friday is leave for pongal?do you get any news from your work place.
spam,You are chosen to receive the 350 prize! PLS Call Note 09066364311 to collect your awards that you are chosen to accept as valuable mobile customers.
ham,Let me know when you've got the money so carlos can make the call
spam,Dear Dave This is your last notice to collect your 4* tenerife vacation or cash prize #5000! Call 09061743806 from a fixed phone. TCS SAE BOX326 CW25WX 150ppm
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
ham,The bus leaves at  &lt;#&gt;
spam,"As a sim subscriber, you are chosen to receive bonuses! Receive it is transferred to your door, the word OK to the number: 88600 to request. 150p/message, exp. 30APR"
ham,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
ham,Cos i want it to be your thing
spam,URGENT! This is the second effort to contact U! U won £ 1000Call 09071512432 B4 300603T & CSBCM4235WC1N3XX.Callcost150ppmmbilesvary. Maxâ £ 7. 50
ham,I'm hungry buy smth home...
spam,FREE INTRODUCTION IN THE WEEK COMP ART OUR ONLY NEED FROM INTRODUCTION TO 84128 Right now. 18 T&C www.textcomp.com Custom 08712405020.
spam,"Your account has been recorded with 500 free text messages. To activate, just txt from: credit to number: 80488 t & cs www.80488.biz"
spam,Call Germany with only 1 pen every minute! Call from a fixed line through 0844 861 85 85. No prepaid. Direct access!
ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m."""
ham,Yep get with the program. You're slacking.
spam,SMS. AC SPTV: Devil New Jersey and Detroit Red Wings play hockey on the ice. True or not accurate? End? Answer to end SPTV
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
spam,Many people are in your area now. Call 09090204448 and participate like people with mind. Why not arrange yourself 1. There is 1 tonight. £ 1.50 minapn ls278bb
ham,What happen dear. Why you silent. I am tensed
ham,No go. No openings for that room 'til after thanksgiving without an upcharge.
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
spam,Congratulations on giving 500 votes of CD or 125GIFT guarantee & free entry 2 100 WKLY to draw txt to 87066
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak
ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
ham,Why tired what special there you had
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
spam,XMAS Award! We are trying to contact U. Today Draw shows that you have won the £ 2000 award. Call 09058094565 from Land Line. Only 12 hours valid
spam,"I want to tell you my deepest dark imagination. Call me 09094646631 only 60p/minute. To stop text, call 08712460324 (NAT ratio)"
spam,"Thank you for your ringtone order, X49 reference number. Your mobile will be charged 4.50. If your melody does not come, please call customer service 09065989182"
spam,URGENT! Your mobile phone number has been awarded the awards £ 2000. Call 09058094455 from Land Line. Request 3030. Only 12 hours valid
spam,"New tons this week includes: 1) McFly-LL AB .., 2) Sara Jorge-Shock .. 3) Will Smith-Switch .. to order according to the instructions next instructions"
ham,"Hey babe, my friend had to cancel, still up for a visit ?"
spam,"SMS service. For your document credit, PLS Goto www.comuk.net login = 3qxj9 cancel registration with stop, no extra fee. Help 08702840625.comuk. 220-CM2 9AE"
spam,CORRECT! The only place in the town to meet interesting singles is interesting in England. TXT talks to 86688 now! 150p/message.
spam,Urgent! Please call 09061743811 from a fixed phone. Your ABTA free 4* tenerife holiday or £ 5000 in cash is waiting for the collection of SAE T & CS 326 CW25WX 150ppm box
spam,Emergency victory! Your mobile phone number has been awarded the prize guaranteed £ 2000 09061790121 from Land Line. Request 3030 valid 12 hours only 150ppm
ham,Im on gloucesterroad what are uup to later?
ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
ham,Thank you princess! I want to see your nice juicy booty...
ham,Are you angry with me. What happen dear
ham,That depends. How would you like to be treated? :)
ham,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.
spam,Guess! Someone you know the secret to imagine you! Who is it? Call us at 09065394514 from the landline Datbox1282essexcm61xn 150p/minute 18
spam,"Urgent This is our second effort to contact your U. £ 900 award from yesterday still waiting for the collection. To request, call 09061702893. ACL03530150PM"
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
spam,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
ham,Ryder unsold.now gibbs.
ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone
spam,You have been selected specially to receive the 2000 pound! Call 08712402050 before the closed lines. Cost 10ppm. 16+. T&TS applies. Ag advertising
spam,You are ripped off! Receive your mobile content from www.clubmoby.com call 08717509990
spam,Save money for wedding underwear at www.bridal.petticoatdreams.co.uk choose from a great choice with national delivery. Bring to friends
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
spam,Thank you for continuing to support your question this week will go to our In2 u £ 100 cash. Name the new US President? TXT ANS to 80082
spam,Urgent This is our second effort to contact your U. £ 900 award from yesterday still waiting for the collection. To request call now 09061702893
spam,Ur go 2 Bahamas! CallfreeFone 08081560665 and talk to a direct executive to ask the Bahamas Cruise of £ 2000 cash only 18+. To refuse txt x to 07786200117
ham,I.ll get there tomorrow and send it to you
ham,I have printed it oh. So  &lt;#&gt;  come upstairs
ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
spam,"Double Mins and TKTS 4 6 months Bluetooth for free on Orange. Available on Sony, Nokia Motorola. Call mobileupd8 at 08000839402 or call2optout/n9dx"
ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
spam,Urgent! Please call 09061213237 from landline. Â£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
ham,Think + da. You wil do.
ham,In e msg jus now. U said thanks for gift.
spam,"Someone you know how to ask our dating service 2 contact you! Can not guess anyone? Call 09058097189 now all will be revealed. POBOBOB 6, LS15HB 150P"
spam,We have tried to contact you your answer to our suggestion about the video 750 video any time any time Mins Mins Half Line Line Line Camcorder replied or called 08000930705
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
ham,Shant disturb u anymore... Jia you...
ham,Ok no prob...
spam,"Enter free to GR8Prizes WKLY Comp 4 chances to win the latest Nokia 8800, PSP or £ 250 Each WK.txt great up to 80878 http // www.gr8prize.com 08715705022"
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
ham,I'm job profile seems like bpo..
ham,Sent me ur email id soon
spam,PRIVATE! Your 2003 account report for 07815296484 shows 800 S.I.M. point. Call 08718738001 identification code 41782 expired 11/18/04
spam,"Have you ever noticed that when you are driving, anyone who goes slower than you is an idiot and everyone driving faster than you is a madman?"
spam,"It comes to 80488. 500 free text messages of your valid until December 31, 2005."
ham,O. Guess they both got screwd
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
spam,Panasonic & Bluetoothhdset for free. Nokia is free. Free Motorola & Doublemins & Doubletxt on Orange Contract. Call mobileupd8 at 08000839402 or call 2optout
ham,Its sunny in california. The weather's just cool
ham,Hey you told your name to gautham ah?
spam,Block breaker currently has a deluxe format with new features and great graphics from T-Mobile. Buy only £ 5 by answering BBDELuxe and performing challenges
spam,83039 62735 = £ 450 UK break accommodation clause & application conditions. 2 requires you to provide your request is 15541
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
ham,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke
ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri."
ham,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!
spam,"Your only user ID is 1172. To remove, please stop to 87239 customer service 08708034412"
ham,Or i go home first lar Ã¼ wait 4 me lor.. I put down my stuff first..
spam,"URGENT. Important information for 02 users. Today is your lucky day! 2 Find out why, log in http://www.urawinner.com has a great surprise waiting for you!"
ham,will you like to be spoiled? :)
spam,Important information notice for users O2. Today is your lucky day! 2 Find out why login to http://www.urawinner.com has a great surprise waiting for you
spam,"Welcome to Anh-Mobile-Date MSG for free calling for free to 08719839835. MGS In the future, the invoice is 150p per day. To cancel, send ""Go Stop"" to 89123"
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
ham,Whens your radio show?
spam,Do you want 750 at any time?
spam,Hello 07734396839 Customer customers of IBH
ham,You see the requirements please
spam,"Bored dating speed? Try Speedchat, TXT Speedchat to 80155, if you don't like to swap TXT and receive a new conversation! Chat80155 POBOBO36504W45WQ 150P/MSG RCD 16"
spam,"You have a secret person who is looking for two people to contact you, they have revealed who thinks you are very special calling on 09058094599"
spam,"Winning the latest Harry Potter and order of Phoenix (Book 5) answered Harry, answered 5 questions - the opportunity was the first of the readers!"
ham,Gud mrng dear hav a nice day
ham,Cheers for the message Zogtorius. IÂve been staring at my phone for an age deciding whether to text or not.
spam,Someone you know how to ask our dating service 2 contact you! Can not guess anyone? Call 09058091854 now all will be revealed. Po Box385 M6 6WU
spam,"Urgent! Please call 09066612661 from your fixed phone, vacation 4* Lux Costa del Sol or 1000 £ 1000 cash are waiting. PPM 150 SAE T & CS JAMES 28, EH74RR"
ham,Does not operate after  &lt;#&gt;  or what
ham,Beauty sleep can help ur pimples too.
spam,Someone you know how to ask our dating service 2 contact you! Can not guess anyone? Call 09058091854 now all will be revealed. Po Box385 M6 6WU
spam,"Receive 3 Lions England Tone, answer Lionm 4 Mono or Lionp 4 Poly. 4 Add Go 2 www.ringtones.co.uk, the best N original. Apply 3GBP network operating rate"
spam,"You won! Holiday 4* Costa del Sol or £ 5000 is waiting for the collection. Call 09050090044 right now toclaim. SAE, TC S, POBOBO334, Stockport, SK38XH, cost £ 1.50/way, max10ins"
ham,Ok. She'll be ok. I guess
ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
spam,Hello. We need some Posh and Chaps birds for users to try Prods for Champneys. Can I put you down? I need your address and DOB as soon as possible. TA R
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
ham,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
spam,Is your mobile 11 months or more? You have the right to update on the latest color mobile phones with free cameras! Call the free mobile update at 08002986030
spam,Do well in England! Get official poly ringtones or color flags on mobile devices! Melody or flag text to 84199 right now! Give up TXT Eng stop. Box39822 W111WX £ 1.50
ham,Wat r u doing?
ham,Did you stitch his trouser
ham,Good Morning my Dear Shijutta........... Have a great &amp; successful day.
spam,UR gave a city vacation and could win a 200 -pound summer shopping every week. TXT store to 88039. Skilgme. Tscs087147403231winawk! Age16 £ 1.50PERWKSUB
ham,Hows that watch resizing
spam,Do you want 750 at any time?
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
spam,"Thinking that you are smart? Won £ 200 this week in our weekly test, play text up to 85222 now! T & CS WinersClub PO Box 84, M26 3uz. 16+. GBP1.50/week"
spam,"U has been paid by Simonwatson5120 on Shinco DVD DVD. 2 BID again, visit SMS. AC/Smsrewards 2 announced that BID ended, the answer ended"
ham,Don know:)this week i'm going to tirunelvai da.
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
spam,Answer with your name and address and you will receive a free week for free at the global locations www.phb1.com Ph: 08700435505150p
ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
ham,how tall are you princess?
ham,I keep ten rs in my shelf:) buy two egg.
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
ham,"Sorry, I'll call later in meeting."
spam,Want a new video phone? 750 whenever there is any min network? Half of the free text leasing for 3 months? Answer or call 08000930705 for free delivery
ham,No. Yes please. Been swimming?
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING"
ham,You got called a tool?
spam,Claire here is Havin Borin Time & now you want to concurrently cum more than 2nite? Chat now 09099725823 Hope 2 C LUV CLAIRE XX CALL
ham,"No worries, hope photo shoot went well. have a spiffing fun at workage."
ham,Dont worry. I guess he's busy.
spam,"Freemsg: Ask UR 250 SMS-TEXT OK to 84025 now! Use Web2mobile 2 UR MATES, etc. Join TXT250.com for 1.50p/week. T&C Box139, LA32WU. 16. Delete TXTX or stop"
spam,"We currently have a message waiting for your collection. To collect your message, just call 08718723815."
spam,"We know a person you know that you imagine you. Call 09058097218 to find out who. POBOBOB 6, LS15HB 150P"
ham,Haha... Hope Ã¼ can hear the receipt sound... Gd luck!
spam,Registration UR Tonexs has been extended and you have been charged £ 4.50. You can choose 10 more polys this month. www.clubzed.co.uk *payment MSG *
spam,Todays Voda numbers ending with 7634 are selected to receive a Â£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.
spam,"Mila, Age23, blonde, new in England. I look like sex with the United Kingdom boys. If you like to have fun with me. Mtalk text to 69866.18. 30pp/txt 1st 5Free. £ 1.50 increased. Help08718728876"
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
ham,Did u got that persons story
spam,"There is no 1 MOB 4 MOB polymorphic tone every week! Just txt pt2 to 87575. Tone 1 free! So, take TXTin right now and tell your friends. 150p/melody. 16 Reply HL 4Info"
spam,"Twinks, bears, onions, skin and jocks are calling now. Do not miss the weekend joy. Call 08712466669 at 10p/minute. 2 Stopping documents call 08712460324 (NAT ratio)"
spam,Give your chance to win a £ 250 WKLY shop Spree TXT: shop to 80878.
spam,I don't know you and you don't know me. Send chat to 86688 now and find each other! Only 150p/MSG RCVD. HG/Suite342/2lands/Hang/W1J6HL LDN. 18 years or more.
spam,"You have won the TKTS to the Euro2004 Cup final or £ 800 cash, to collect 09058099801 B4190604, Pobox 7876150ppm"
ham,"Hi this is yijue, can i meet u at 11 tmr?"
ham,"Oops, I'll let you know when my roommate's done"
spam,"Thank you for your ringtone order, X49 reference number. Your mobile phone will be charged 4.50. If your melody does not come, please call customer service 09065989182. From: [Color = Red] text [/color] txtstar"
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,Argh why the fuck is nobody in town ;_;
ham,Oh for fuck's sake she's in like tallahassee
ham,Where r e meeting tmr?
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
spam,"SMS auction you won Nokia 7250i. This is what you get when you win our free auction. To join, send Nokia to 86021 now. HG/Suite342/2lands/W1JHL 16+"
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth Â£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
spam,URGENT! We are trying to contact U. Today Draw shows that you have won a prize worth £ 800. Call 09000001808 from Land Line. Request M95. Only valid 12hrs
spam,This message is brought to you by GMW Ltd. and not connected with
ham,Now got tv 2 watch meh? U no work today?
ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
ham,"I'm outside islands, head towards hard rock and you'll run into me"
ham,Is there coming friday is leave for pongal?do you get any news from your work place.
spam,You are given a Sipix digital camera! Call 09061221061 from a fixed phone. Delivery within 28 days. T cs box177. M221BP. 2YR warranty. 150ppm. 16. P pâ £ 3.99
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
